Timestamp,Distance (cm)
2025-02-09 15:26:20,791.1799926757812
2025-02-09 15:26:22,792.4039916992188
2025-02-09 15:26:23,791.2479858398438
2025-02-09 15:26:24,790.7550048828125
2025-02-09 15:26:25,193.97000122070312
2025-02-09 15:26:27,789.9730224609375
2025-02-09 15:26:28,74.81700134277344
2025-02-09 15:26:29,16.694000244140625
2025-02-09 15:26:30,16.371000289916992
2025-02-09 15:26:31,789.2420043945312
2025-02-09 15:26:32,17.900999069213867
2025-02-09 15:26:33,16.31999969482422
2025-02-09 15:26:34,26.520000457763672
2025-02-09 15:26:35,81.83799743652344
2025-02-09 15:26:36,16.31999969482422
2025-02-09 15:26:38,303.7900085449219
2025-02-09 15:26:39,108.08599853515625
2025-02-09 15:26:40,13.005000114440918
2025-02-09 15:26:41,789.802978515625
2025-02-09 15:26:42,791.2650146484375
2025-02-09 15:26:43,791.52001953125
2025-02-09 15:26:44,791.1290283203125
2025-02-09 15:26:45,790.5170288085938
2025-02-09 15:26:46,786.5900268554688
2025-02-09 15:26:47,789.9219970703125
2025-02-09 15:26:48,790.4149780273438
2025-02-09 15:26:50,72.93000030517578
2025-02-09 15:26:51,791.010009765625
2025-02-09 15:26:52,35.479000091552734
2025-02-09 15:26:53,64.46399688720703
2025-02-09 15:26:54,84.4219970703125
2025-02-09 15:26:55,16.371000289916992
2025-02-09 15:26:56,131.07000732421875
2025-02-09 15:26:57,64.63400268554688
2025-02-09 15:26:58,790.5679931640625
2025-02-09 15:26:59,32.09600067138672
2025-02-09 15:27:01,300.9169921875
2025-02-09 15:27:02,37.09400177001953
2025-02-09 15:27:03,219.6739959716797
2025-02-09 15:27:04,84.03099822998047
2025-02-09 15:27:05,67.6259994506836
2025-02-09 15:27:06,791.8939819335938
2025-02-09 15:27:07,792.2169799804688
2025-02-09 15:27:08,29.61400032043457
2025-02-09 15:27:09,48.92599868774414
2025-02-09 15:27:10,35.887001037597656
2025-02-09 15:27:11,792.1320190429688
2025-02-09 15:27:13,792.0640258789062
2025-02-09 15:27:14,792.114990234375
2025-02-09 15:27:15,791.7239990234375
2025-02-09 15:27:16,791.7579956054688
2025-02-09 15:27:17,791.2139892578125
2025-02-09 15:27:18,181.49200439453125
2025-02-09 15:27:19,791.010009765625
2025-02-09 15:27:20,28.746999740600586
2025-02-09 15:27:21,123.18199920654297
2025-02-09 15:27:22,792.0809936523438
2025-02-09 15:27:24,80.34200286865234
2025-02-09 15:27:25,117.41899871826172
2025-02-09 15:27:26,15.741999626159668
2025-02-09 15:27:27,791.8939819335938
2025-02-09 15:27:28,16.694000244140625
2025-02-09 15:27:29,791.8599853515625
2025-02-09 15:27:30,792.5910034179688
2025-02-09 15:27:31,30.650999069213867
2025-02-09 15:27:32,86.2750015258789
2025-02-09 15:27:33,74.73200225830078
2025-02-09 15:27:34,20.382999420166016
2025-02-09 15:27:36,28.815000534057617
2025-02-09 15:27:37,23.459999084472656
2025-02-09 15:27:38,30.22599983215332
2025-02-09 15:27:39,16.711000442504883
2025-02-09 15:27:40,791.8599853515625
2025-02-09 15:27:41,73.28700256347656
2025-02-09 15:27:42,105.48500061035156
2025-02-09 15:27:43,22.797000885009766
2025-02-09 15:27:44,792.030029296875
2025-02-09 15:27:45,15.741999626159668
2025-02-09 15:27:47,46.12099838256836
2025-02-09 15:27:48,792.6079711914062
2025-02-09 15:27:49,39.62699890136719
2025-02-09 15:27:50,81.71900177001953
2025-02-09 15:27:51,792.6079711914062
2025-02-09 15:27:52,792.3189697265625
2025-02-09 15:27:53,792.4210205078125
2025-02-09 15:27:54,790.5850219726562
2025-02-09 15:27:55,295.9360046386719
2025-02-09 15:27:56,789.7349853515625
2025-02-09 15:27:57,791.3670043945312
2025-02-09 15:27:59,43.50299835205078
2025-02-09 15:28:00,296.24200439453125
2025-02-09 15:28:01,35.97200012207031
2025-02-09 15:28:02,22.610000610351562
2025-02-09 15:28:03,20.21299934387207
2025-02-09 15:28:04,5.473999977111816
2025-02-09 15:28:05,791.5540161132812
2025-02-09 15:28:06,4.198999881744385
2025-02-09 15:28:07,790.9420166015625
2025-02-09 15:28:08,792.489013671875
2025-02-09 15:28:10,4.861999988555908
2025-02-09 15:28:11,791.14599609375
2025-02-09 15:28:12,790.9929809570312
2025-02-09 15:28:13,791.14599609375
2025-02-09 15:28:14,790.822998046875
2025-02-09 15:28:15,2.940999984741211
2025-02-09 15:28:16,3.5869998931884766
2025-02-09 15:28:17,4.13100004196167
2025-02-09 15:28:18,6.4770002365112305
2025-02-09 15:28:19,10.081000328063965
2025-02-09 15:28:20,68.64600372314453
2025-02-09 15:28:22,791.7750244140625
2025-02-09 15:28:23,792.0130004882812
2025-02-09 15:28:24,791.3330078125
2025-02-09 15:28:25,791.4180297851562
2025-02-09 15:28:26,791.1799926757812
2025-02-09 15:28:27,791.2479858398438
2025-02-09 15:28:28,791.3330078125
2025-02-09 15:28:29,64.49800109863281
2025-02-09 15:28:30,62.220001220703125
2025-02-09 15:28:31,28.849000930786133
2025-02-09 15:28:32,791.843017578125
2025-02-09 15:28:34,792.43798828125
2025-02-09 15:28:35,57.27299880981445
2025-02-09 15:28:36,73.6780014038086
2025-02-09 15:28:37,29.715999603271484
2025-02-09 15:28:38,29.61400032043457
2025-02-09 15:28:39,22.33799934387207
2025-02-09 15:28:40,80.18900299072266
2025-02-09 15:28:41,26.826000213623047
2025-02-09 15:28:42,18.58099937438965
2025-02-09 15:28:43,791.0269775390625
2025-02-09 15:28:45,790.77197265625
2025-02-09 15:28:46,67.77899932861328
2025-02-09 15:28:47,792.4550170898438
2025-02-09 15:28:48,792.4039916992188
2025-02-09 15:28:49,792.676025390625
2025-02-09 15:28:50,792.302001953125
2025-02-09 15:28:51,792.5399780273438
2025-02-09 15:28:52,792.1829833984375
2025-02-09 15:28:53,792.2680053710938
2025-02-09 15:28:55,792.2509765625
2025-02-09 15:28:56,792.43798828125
2025-02-09 15:28:57,792.2509765625
2025-02-09 15:28:58,792.3359985351562
2025-02-09 15:28:59,792.3189697265625
2025-02-09 15:29:00,792.030029296875
2025-02-09 15:29:01,792.2849731445312
2025-02-09 15:29:02,792.2509765625
2025-02-09 15:29:03,792.2680053710938
2025-02-09 15:29:05,792.35302734375
2025-02-09 15:29:06,792.2680053710938
2025-02-09 15:29:07,792.3359985351562
2025-02-09 15:29:08,792.2680053710938
2025-02-09 15:29:09,792.302001953125
2025-02-09 15:29:10,792.2000122070312
2025-02-09 15:29:11,792.2509765625
2025-02-09 15:29:13,792.3189697265625
2025-02-09 15:29:14,792.2000122070312
2025-02-09 15:29:15,792.3359985351562
2025-02-09 15:29:16,792.302001953125
2025-02-09 15:29:18,792.2509765625
2025-02-09 15:29:19,792.2000122070312
2025-02-09 15:29:20,792.1829833984375
2025-02-09 15:29:21,792.2169799804688
2025-02-09 15:29:22,792.2340087890625
2025-02-09 15:29:23,792.0809936523438
2025-02-09 15:29:24,790.3809814453125
2025-02-09 15:29:25,21.94700050354004
2025-02-09 15:29:26,789.7349853515625
2025-02-09 15:29:28,791.4520263671875
2025-02-09 15:29:29,6.765999794006348
2025-02-09 15:29:30,16.694000244140625
2025-02-09 15:29:31,16.04800033569336
2025-02-09 15:29:32,19.125
2025-02-09 15:29:33,32.04499816894531
2025-02-09 15:29:34,47.888999938964844
2025-02-09 15:29:35,2.499000072479248
2025-02-09 15:29:36,785.3489990234375
2025-02-09 15:29:37,4.828000068664551
2025-02-09 15:29:38,790.9929809570312
2025-02-09 15:29:40,788.9530029296875
2025-02-09 15:29:41,16.625999450683594
2025-02-09 15:29:42,789.2930297851562
2025-02-09 15:29:43,789.531005859375
2025-02-09 15:29:44,790.0579833984375
2025-02-09 15:29:45,792.2340087890625
2025-02-09 15:29:46,790.0239868164062
2025-02-09 15:29:47,790.2109985351562
2025-02-09 15:29:48,790.0750122070312
2025-02-09 15:29:50,789.989990234375
2025-02-09 15:29:51,790.0750122070312
2025-02-09 15:29:52,790.0579833984375
2025-02-09 15:29:53,790.822998046875
2025-02-09 15:29:54,790.2789916992188
2025-02-09 15:29:55,790.1430053710938
2025-02-09 15:29:56,789.9730224609375
2025-02-09 15:29:57,789.7860107421875
2025-02-09 15:29:58,790.0239868164062
2025-02-09 15:29:59,790.0750122070312
2025-02-09 15:30:01,790.1599731445312
2025-02-09 15:30:02,789.7349853515625
2025-02-09 15:30:03,790.1939697265625
2025-02-09 15:30:04,790.2620239257812
2025-02-09 15:30:05,790.2960205078125
2025-02-09 15:30:06,790.22802734375
2025-02-09 15:30:07,790.2449951171875
2025-02-09 15:30:08,790.2620239257812
2025-02-09 15:30:09,790.5339965820312
2025-02-09 15:30:10,75.49700164794922
2025-02-09 15:30:12,28.525999069213867
2025-02-09 15:30:13,77.14600372314453
2025-02-09 15:30:14,52.37699890136719
2025-02-09 15:30:15,792.0640258789062
2025-02-09 15:30:16,791.5880126953125
2025-02-09 15:30:17,791.3839721679688
2025-02-09 15:30:18,791.3159790039062
2025-02-09 15:30:19,791.3670043945312
2025-02-09 15:30:20,6.765999794006348
2025-02-09 15:30:21,791.3499755859375
2025-02-09 15:30:22,791.60498046875
